symbol,date,open,high,low,close,volume,adjclose,splits
hov,2020-04-20,9.489999771118164,9.760000228881836,8.510000228881836,9.630000114440918,760200,9.630000114440918,0.0
hov,2020-04-27,9.920000076293945,14.170000076293945,9.75,11.699999809265137,1544900,11.699999809265137,0.0
hov,2020-05-04,11.350000381469727,13.329999923706055,10.380000114440918,12.279999732971191,1052300,12.279999732971191,0.0
hov,2020-05-11,12.380000114440918,12.489999771118164,9.670000076293945,11.140000343322754,654200,11.140000343322754,0.0
hov,2020-05-18,11.739999771118164,14.5,11.739999771118164,13.5600004196167,986500,13.5600004196167,0.0
hov,2020-05-25,14.229999542236328,17.950000762939453,13.979999542236328,16.350000381469727,860900,16.350000381469727,0.0
hov,2020-06-01,16.469999313354492,26.719999313354492,16.09000015258789,25.809999465942383,1727800,25.809999465942383,0.0
hov,2020-06-08,26.68000030517578,29.780000686645508,19.270000457763672,20.940000534057617,2158900,20.940000534057617,0.0
hov,2020-06-15,19.360000610351562,27.020000457763672,18.709999084472656,23.309999465942383,1107300,23.309999465942383,0.0
hov,2020-06-22,22.8799991607666,23.979999542236328,20.489999771118164,20.790000915527344,741200,20.790000915527344,0.0
hov,2020-06-29,21.059999465942383,23.719999313354492,20.25,21.979999542236328,580400,21.979999542236328,0.0
hov,2020-07-06,22.690000534057617,23.649999618530273,20.3799991607666,21.6299991607666,781400,21.6299991607666,0.0
hov,2020-07-13,22.299999237060547,23.959999084472656,19.06999969482422,22.18000030517578,925700,22.18000030517578,0.0
hov,2020-07-20,22.5,24.329999923706055,21.010000228881836,21.649999618530273,679700,21.649999618530273,0.0
hov,2020-07-27,21.959999084472656,26.219999313354492,21.229999542236328,23.299999237060547,1048200,23.299999237060547,0.0
hov,2020-08-03,23.56999969482422,27.780000686645508,23.5,25.690000534057617,1125000,25.690000534057617,0.0
hov,2020-08-10,25.90999984741211,29.6200008392334,25.899999618530273,28.530000686645508,1051100,28.530000686645508,0.0
hov,2020-08-17,29.030000686645508,35.77000045776367,28.700000762939453,34.380001068115234,1169500,34.380001068115234,0.0
hov,2020-08-24,35.13999938964844,35.25,32.08000183105469,33.279998779296875,609500,33.279998779296875,0.0
hov,2020-08-31,33.5,36.43000030517578,26.030000686645508,29.200000762939453,1227400,29.200000762939453,0.0
hov,2020-09-07,28.280000686645508,31.8799991607666,28.030000686645508,30.670000076293945,621000,30.670000076293945,0.0
